m/z	rtime	p-value	t-score	custom_id	log2fc	name	emp_ID	categories	classes
114.0895	214.55	0.014264873942210482	10.257691462467958		3.0267599783499666				
268.1036	24.86	0.0006799898551854901	31.114715674083474	C12H20O4	7.253257290934947	(-)-12-hydroxy-9,10-dihydrojasmonic acid,Ieodomycin C,Traumatic acid,9-hydroxy-traumatin,Gallicynoic acid G,2Z-Dodecenedioic acid,Cladosporacid D,3Z-dodecenedioic acid,9,12-dioxo-dodecanoic acid,(-)-11-hydroxy-9,10-dihydrojasmonic acid	kp294_228.1366	{'Fatty Acyls [FA]'}	{'Fatty Acids and Conjugates [FA01]', 'Octadecanoids [FA02]'}
269.0875	22.62	0.002576668656930053	19.03246170452734		3.4083084782778563				
222.1796	0.98	0.02007421885413992	9.148095129863483	C25H47NO5	2.536898922328838	(9Z)-3-hydroxyoctadecenoylcarnitine	kp6807_441.3448	{'Fatty Acyls [FA]'}	{'Fatty esters [FA07]'}
223.0458	24.86	0.02007421885413992	9.098060087352753		1.9881400767629671				
120.0811	24.59	0.0033999846816621577	-17.143627343521125		-2.496400577920248				
121.0844	24.59	0.010156550177655242	-11.583103642997791		-2.9573988750275007				
181.1086	22.49	0.040303919585939645	-7.202265445435298		-4.458827608589562				
130.0654	24.99	0.036021322178538234	-7.4901777515671055		-2.123078708798616				
186.0187	23.67	0.021171035908384025	8.833155973728243		2.411807713166848				
287.0612	21.57	0.036511851169469686	7.445692851721241		1.7434174534718991				
133.1054	24.07	0.03725553518797089	-7.388586211470174		-1.3601634711909618				
188.0707	24.59	0.001785785374031954	-22.048262394513266		-3.9740161030324543				
